attendee_email_address,attendee_company_name,attendee_country
typo1@microsft.com,Microsft,US
typo2@gogle.com,Alphabet,US
typo3@appel.com,Appel,US
typo4@amazn.com,Amazn,US
typo5@faceboook.com,Faceboook,US
typo6@teslla.com,Teslla,US
typo7@netflixx.com,Netflixx,US
typo8@salesforc.com,Salesforc,US
typo9@nvdia.com,Nvdia,US
typo10@oracl.com,Oracl,US
typo11@adobbe.com,Adobbe,US
typo12@intell.com,Intell,US
typo13@ciscoo.com,Ciscoo,US
typo14@paypalll.com,Paypalll,US
typo15@samsng.kr,Samsng,KR
typo16@toyata.jp,Toyata,JP
typo17@asmll.nl,Asmll,NL
typo18@sapp.de,Sapp,DE
typo19@shopfy.ca,Shopfy,CA
typo20@microsft.com,Microsooft,US
challenge1@microsoft.com,MSFT,US
challenge2@google.com,Googel,US
challenge3@apple.com,Aple,US
challenge4@amazon.com,Amzn,US
challenge5@meta.com,FB,US
challenge6@tesla.com,Tesala,US
challenge7@netflix.com,Netflx,US
challenge8@salesforce.com,SalesForc,US
challenge9@nvidia.com,nVidia,US
challenge10@oracle.com,Orale,US
challenge11@adobe.com,Adbe,US
challenge12@intel.com,Intl,US
challenge13@cisco.com,Ciso,US
challenge14@paypal.com,PayPall,US
challenge15@samsung.kr,Samung,KR
challenge16@toyota.jp,Toyoto,JP
challenge17@asml.nl,ASML Holdings,NL
challenge18@sap.de,S.A.P,DE
challenge19@shopify.ca,Shopfiy,CA
challenge20@microsoft.com,Micro-Soft,US
